Date,AAPL,ABBV,AMAT,AMD,AMGN,AMZN,ARM,ASML,AVGO,BAC,CAT,COST,CSCO,CVX,GOOG,GOOGL,INTC,JNJ,JPM,KLAC,KO,LIN,LLY,LRCX,META,MRK,MRVL,MSFT,MU,NFLX,NVDA,ORCL,PANW,PLTR,SNDK,SPCX,TSLA,TXN,V,WMT,XOM
2025-12-31,271.12200927734375,223.2125244140625,256.0773620605469,214.16000366210938,320.74688720703125,230.82000732421875,109.30999755859375,1064.7451171875,344.82977294921875,54.1319465637207,569.3904418945312,858.5507202148438,75.92303466796875,148.2696533203125,313.1871337890625,312.3923034667969,36.900001525878906,203.6740264892578,317.70855712890625,121.0588150024414,68.57796478271484,422.2325134277344,1069.5130615234375,170.85479736328125,658.9146728515625,103.13131713867188,84.85547637939453,480.5711669921875,285.24627685546875,93.76000213623047,186.0646209716797,193.04794311523438,184.1999969482422,177.75,237.3800048828125,,449.7200012207031,170.61997985839844,348.6165771484375,110.70501708984375,117.97337341308594
2026-01-02,270.27435302734375,224.01358032226562,267.9151916503906,223.47000122070312,321.0702819824219,226.5,114.7300033569336,1158.216064453125,346.3441467285156,55.06695556640625,594.7753295898438,850.7451782226562,75.34831237792969,151.6648406982422,314.7041931152344,314.5381164550781,39.380001068115234,204.06768798828125,320.92291259765625,126.97584533691406,67.80302429199219,424.92596435546875,1075.165771484375,184.70843505859375,649.2518920898438,104.29724884033203,89.25901794433594,469.95849609375,315.2391052246094,90.98999786376953,188.40911865234375,193.84030151367188,179.3699951171875,167.86000061035156,275.239990234375,,438.07000732421875,174.58331298828125,344.4118347167969,112.04647827148438,120.23796081542969
2026-01-05,266.5345458984375,215.09445190429688,283.3103332519531,221.0800018310547,314.2890319824219,233.05999755859375,116.11000061035156,1222.3179931640625,342.15960693359375,55.99211502075195,612.35791015625,871.891845703125,74.89250183105469,159.39889526367188,316.7002868652344,315.9254455566406,39.369998931884766,201.0758056640625,329.363037109375,134.74501037597656,66.6455078125,428.8770751953125,1036.50244140625,194.38999938964844,657.616943359375,105.2672348022461,90.09779357910156,469.86907958984375,311.970947265625,91.45999908447266,187.6808319091797,190.75009155273438,182.1199951171875,174.0399932861328,274.0799865722656,,451.6700134277344,174.2390899658203,351.6881408691406,111.99678802490234,122.89466094970703
2026-01-06,261.64776611328125,218.75782775878906,294.9588317871094,214.35000610351562,323.5495910644531,240.92999267578125,115.52999877929688,1236.2510986328125,342.50830078125,56.346435546875,619.3054809570312,885.193115234375,74.54568481445312,152.28746032714844,313.9356689453125,313.7297058105469,40.040000915527344,201.5482177734375,331.41326904296875,138.98428344726562,66.54740142822266,432.8974914550781,1058.92431640625,206.5668182373047,659.4437255859375,106.66831970214844,88.10071563720703,475.4933776855469,343.23297119140625,90.6500015258789,186.80288696289062,191.89903259277344,185.86000061035156,179.7100067138672,349.6300048828125,,432.9599914550781,188.92210388183594,355.42572021484375,113.61646270751953,118.66941833496094
2026-01-07,259.6233215332031,228.02865600585938,291.162353515625,210.02000427246094,334.7895812988281,241.55999755859375,115.68000030517578,1222.5966796875,342.2392883300781,54.761844635009766,592.8968505859375,878.7017822265625,74.04031372070312,150.98387145996094,321.80029296875,321.35491943359375,42.630001068115234,204.2054901123047,323.8660583496094,135.46633911132812,66.25312042236328,429.9069519042969,1102.7623291015625,202.69419860839844,647.5349731445312,106.40377807617188,84.5159683227539,480.4221496582031,339.355224609375,90.7300033569336,188.6685028076172,190.99771118164062,193.89999389648438,181.67999267578125,353.55999755859375,,431.4100036621094,182.63783264160156,353.7557067871094,112.00672912597656,116.15975952148438
2026-01-08,258.33685302734375,218.95323181152344,280.63983154296875,204.67999267578125,323.4907531738281,246.2899932861328,113.08000183105469,1188.6099853515625,331.2597351074219,55.2933235168457,604.4363403320312,911.2879638671875,73.2872314453125,154.923828125,325.373291015625,324.80816650390625,41.11000061035156,202.49301147460938,326.63934326171875,131.9703369140625,68.04826354980469,435.4028015136719,1079.972412109375,200.57823181152344,644.9096069335938,108.74544525146484,83.32771301269531,475.0959167480469,326.8323974609375,90.52999877929688,184.60801696777344,187.8381805419922,190.8000030517578,176.86000061035156,334.5400085449219,,435.79998779296875,185.33248901367188,350.1275329589844,112.35450744628906,120.49284362792969
2026-01-09,258.6659240722656,214.99676513671875,300.11041259765625,203.1699981689453,319.5611877441406,247.3800048828125,111.79000091552734,1267.78955078125,343.7038879394531,54.96853256225586,613.86865234375,920.81591796875,73.20796203613281,157.70616149902344,328.4971923828125,327.9320983886719,45.54999923706055,201.15455627441406,326.0450744628906,139.48245239257812,69.16654205322266,439.7500305175781,1058.446533203125,217.94515991210938,651.8970947265625,108.29474639892578,83.15785217285156,476.258544921875,344.89202880859375,89.45999908447266,184.42843627929688,197.14321899414062,189.02000427246094,177.49000549316406,377.4100036621094,,445.010009765625,187.16172790527344,347.68218994140625,113.8052749633789,122.15940856933594
2026-01-12,259.54351806640625,214.9576873779297,306.14892578125,207.69000244140625,319.0124206542969,246.47000122070312,111.13999938964844,1275.1044921875,350.9173278808594,54.31895065307617,625.9448852539062,938.9359741210938,73.33677673339844,157.9298858642578,332.0801696777344,331.2156982421875,44.060001373291016,206.40017700195312,321.3899841308594,142.28903198242188,69.15672302246094,439.3044128417969,1075.8026123046875,219.9812774658203,640.826904296875,106.98184204101562,82.82809448242188,474.1717529296875,345.6716003417969,89.41000366210938,184.5082550048828,203.26048278808594,188.8800048828125,179.41000366210938,389.2699890136719,,448.9599914550781,185.94224548339844,341.15142822265625,117.2235107421875,121.59081268310547
2026-01-13,260.34136962890625,215.6512908935547,303.7873229980469,220.97000122070312,317.7972412109375,242.60000610351562,107.83999633789062,1264.08740234375,353.3085021972656,53.67920684814453,632.6638793945312,937.7909545898438,74.78350067138672,159.4183349609375,335.77294921875,335.31768798828125,47.290000915527344,210.2679443359375,307.9298095703125,143.64898681640625,69.88262176513672,438.5815124511719,1072.010986328125,213.9727325439453,629.96630859375,106.07064819335938,82.98797607421875,467.70281982421875,337.93603515625,90.31999969482422,185.376220703125,200.88705444335938,190.85000610351562,178.9600067138672,389.80999755859375,,447.20001220703125,185.41114807128906,325.9228515625,119.59837341308594,124.05145263671875
2026-01-14,259.25433349609375,216.7649688720703,300.8179016113281,223.60000610351562,322.3736267089844,236.64999389648438,104.98999786376953,1257.67822265625,338.642578125,51.65171813964844,634.870361328125,946.8012084960938,73.73313903808594,162.69679260253906,335.6531982421875,335.1879577636719,48.720001220703125,215.0904083251953,304.9287414550781,142.919677734375,70.07882690429688,435.6899719238281,1068.1297607421875,208.39334106445312,614.4240112304688,108.76504516601562,81.14934539794922,456.4840087890625,333.1587829589844,88.55000305175781,182.7124481201172,192.26727294921875,190.92999267578125,178.39999389648438,387.80999755859375,,439.20001220703125,190.24978637695312,327.2052001953125,119.28040313720703,127.63947296142578
